name,rating,link,tag
星际穿越,9.3,https://movie.douban.com/subject/1889243/,"科幻,太空,宇宙,美国,人性,亲情,冒险,震撼"
楚门的世界,9.3,https://movie.douban.com/subject/1292064/?from=subject-page,"人性,经典,楚门的世界,美国,剧情,人生,自由,JimCarrey"
源代码,8.4,https://movie.douban.com/subject/3075287/?from=subject-page,"科幻,美国,悬疑,剧情,人性,2011,动作,惊悚"
黑客帝国,9.0,https://movie.douban.com/subject/1291843/?from=subject-page,"科幻,美国,动作,经典,黑客帝国,哲学,剧情,1999"
明日边缘,8.1,https://movie.douban.com/subject/4746257/?from=subject-page,"科幻,美国,动作,战争,机甲,2014,剧情,汤姆克鲁斯"
头号玩家,8.7,https://movie.douban.com/subject/4920389/?from=subject-page,"科幻,虚拟现实,游戏,VR,美国,冒险,动作,2018"
盗梦空间,9.3,https://movie.douban.com/subject/3541415/?from=subject-page,"科幻,悬疑,心理,美国,剧情,经典,哲学,梦"
阿凡达,8.7,https://movie.douban.com/subject/1652587/?from=subject-page,"科幻,3D,美国,震撼,IMAX,史诗,特效,战争"
鬼子来了,9.2,https://movie.douban.com/subject/1291858/?from=subject-page,"姜文,人性,战争,鬼子来了,黑色幽默,抗日,中国电影,中国"
辛德勒的名单,9.5,https://movie.douban.com/subject/1295124/?from=subject-page,"人性,二战,经典,战争,斯皮尔伯格,辛德勒的名单,美国,剧情"
X战警：逆转未来,8.2,https://movie.douban.com/subject/10485647/?from=subject-page,"科幻,X战警,美国,Marvel,超级英雄,动作,2014,漫画改编"
火星救援,8.4,https://movie.douban.com/subject/25864085/?from=subject-page,"科幻,美国,马特·达蒙,火星,冒险,励志,剧情,2015"
钢铁侠,8.3,https://movie.douban.com/subject/1432146/?from=subject-page,"科幻,美国,动作,超级英雄,漫威,marvel,2008,漫画改编"
闻香识女人,9.1,https://movie.douban.com/subject/1298624/?from=subject-page,"经典,阿尔·帕西诺,美国,闻香识女人,人性,剧情,美国电影,成长"
熔炉,9.3,https://movie.douban.com/subject/5912992/?from=subject-page,"人性,韩国,犯罪,社会,虐心,熔炉,剧情,震撼"
肖申克的救赎,9.7,https://movie.douban.com/subject/1292052/?from=subject-page,"经典,励志,信念,自由,人性,人生,美国,希望"
十二怒汉,9.4,https://movie.douban.com/subject/1293182/?from=subject-page,"经典,人性,美国,黑白,剧情,法律,1957,推理"
窃听风暴,9.1,https://movie.douban.com/subject/1900841/?from=subject-page,"人性,德国,剧情,德国电影,东德,社会主义,窃听,政治"
我不是药神,9.0,https://movie.douban.com/subject/26752088/?from=subject-page,"人性,社会,真实事件改编,生命,中国大陆,剧情,黑色幽默,药"
活着,9.2,https://movie.douban.com/subject/1292365/?from=subject-page,"张艺谋,活着,文革,葛优,中国电影,巩俐,剧情,中国"
飞越疯人院,9.1,https://movie.douban.com/subject/1292224/?from=subject-page,"人性,自由,经典,美国,剧情,心理,1975,黑色幽默"
环太平洋,7.6,https://movie.douban.com/subject/5323968/?from=subject-page,"科幻,美国,机甲,怪兽,灾难,动作,机器人,2013"
记忆碎片,8.6,https://movie.douban.com/subject/1304447/?from=subject-page,"悬疑,美国,剧情,失忆,惊悚,心理,记忆,犯罪"
美国队长3,7.9,https://movie.douban.com/subject/25820460/?from=subject-page,"漫威,超级英雄,美国,美国队长,科幻,Marvel,动作,2016"
兵临城下,8.5,https://movie.douban.com/subject/1301726/?from=subject-page,"二战,战争,狙击,美国,裘德·洛,JudeLaw,德国,2001"
禁闭岛,8.8,https://movie.douban.com/subject/2334904/?from=subject-page,"悬疑,心理,莱昂纳多·迪卡普里奥,惊悚,美国,剧情,LeonardoDiCaprio,美国电影"
雷神2：黑暗世界,7.4,https://movie.douban.com/subject/6560058/?from=subject-page,"美国,科幻,Marvel,漫威,漫画改编,动作,超级英雄,2013"
银翼杀手2049,8.3,https://movie.douban.com/subject/10512661/?from=subject-page,"科幻,赛博朋克,美国,反乌托邦,人性,2017,剧情,动作"
蜘蛛侠,7.8,https://movie.douban.com/subject/1306612/?from=subject-page,"科幻,美国,蜘蛛侠,动作,漫画改编,美国电影,超级英雄,2002"
血战钢锯岭,8.7,https://movie.douban.com/subject/26325320/?from=subject-page,"战争,真实事件改编,信仰,二战,美国,人性,历史,军事"
控方证人,9.6,https://movie.douban.com/subject/1296141/?from=subject-page,"悬疑,经典,推理,犯罪,美国,黑白,法律,剧情"
卢旺达饭店,8.9,https://movie.douban.com/subject/1291822/?from=subject-page,"战争,种族,人性,非洲,历史,卢旺达饭店,经典,美国"
寄生虫,8.7,https://movie.douban.com/subject/27010768/?from=subject-page,"人性,韩国,社会,黑色幽默,剧情,犯罪,2019,金棕榈"
贫民窟的百万富翁,8.6,https://movie.douban.com/subject/2209573/?from=subject-page,"印度,励志,剧情,爱情,人生,奥斯卡,经典,英国"
三块广告牌,8.7,https://movie.douban.com/subject/26611804/?from=subject-page,"人性,剧情,美国,犯罪,黑色幽默,女性,奥斯卡,2017"
阿甘正传,9.5,https://movie.douban.com/subject/1292720/?from=subject-page,"励志,经典,人生,美国,成长,信念,剧情,人性"
何以为家,9.1,https://movie.douban.com/subject/30170448/?from=subject-page,"人性,儿童,社会,难民,成长,家庭,黎巴嫩,剧情"
霸王别姬,9.6,https://movie.douban.com/subject/1291546/?from=subject-page,"经典,人性,文艺,爱情,人生,同志,剧情,文革"
侏罗纪公园,8.1,https://movie.douban.com/subject/1292523/?from=subject-page,"科幻,斯皮尔伯格,美国,恐龙,侏罗纪公园,经典,冒险,1993"
星际迷航2：暗黑无界,8.0,https://movie.douban.com/subject/3642843/?from=subject-page,"科幻,星际迷航,美国,2013,动作,冒险,3D,星际"
钢铁侠3,7.8,https://movie.douban.com/subject/3231742/?from=subject-page,"科幻,钢铁侠,美国,超级英雄,动作,MARVEL,2013,漫画改编"
看不见的客人,8.8,https://movie.douban.com/subject/26580232/?from=subject-page,"悬疑,推理,犯罪,西班牙,烧脑,人性,剧情,心理"
全金属外壳,8.6,https://movie.douban.com/subject/1300055/?from=subject-page,"战争,越战,美国,库布里克,斯坦利·库布里克,StanleyKubrick,美国电影,1987"
2001太空漫游,8.8,https://movie.douban.com/subject/1292226/?from=subject-page,"科幻,经典,美国,太空,1968,哲学,史诗,宇宙"
黑客帝国2：重装上阵,8.6,https://movie.douban.com/subject/1304141/?from=subject-page,"科幻,美国,动作,黑客帝国,经典,哲学,KeanuReeves,美国电影"
比利·林恩的中场战事,8.4,https://movie.douban.com/subject/25983044/?from=subject-page,"战争,美国,人性,剧情,成长,2016,120帧,小说改编"
黑豹,6.5,https://movie.douban.com/subject/6390825/?from=subject-page,"漫威,超级英雄,科幻,美国,动作,2018,漫画改编,非洲"
惊魂记,8.9,https://movie.douban.com/subject/1293181/?from=subject-page,"希区柯克,悬疑,惊悚,美国,经典,心理,1960,AlfredHitchcock"
电话谋杀案,8.8,https://movie.douban.com/subject/1301231/?from=subject-page,"希区柯克,悬疑,美国,犯罪,1954,AlfredHitchcock,经典,美国电影"
至暗时刻,8.6,https://movie.douban.com/subject/26761416/?from=subject-page,"丘吉尔,二战,英国,传记,历史,战争,剧情,真实事件改编"
心迷宫,8.7,https://movie.douban.com/subject/25917973/?from=subject-page,"悬疑,犯罪,人性,中国大陆,剧情,黑色幽默,心理,黑色"
幸福终点站,8.8,https://movie.douban.com/subject/1292274/?from=subject-page,"汤姆·汉克斯,美国,爱情,喜剧,斯皮尔伯格,剧情,美国电影,TomHanks"
暴裂无声,8.3,https://movie.douban.com/subject/26647117/?from=subject-page,"悬疑,犯罪,人性,黑色,中国大陆,剧情,华语,2017"
国王的演讲,8.4,https://movie.douban.com/subject/4023638/?from=subject-page,"英国,励志,传记,剧情,奥斯卡,历史,经典,2010"
