name,rating,link,tag,rating_people
西部世界 第一季,8.9,https://movie.douban.com/subject/2338055/,"科幻,美剧,人工智能,HBO,人性,美国,西部,2016",211164
越狱 第一季,9.3,https://movie.douban.com/subject/1419297/?from=subject-page,"美剧,越狱,悬疑,美国,电视剧,剧情,犯罪,Prison",170248
苍穹浩瀚 第一季,8.6,https://movie.douban.com/subject/25926851/?from=subject-page,"科幻,美剧,太空,星际,美国,电视剧,Syfy,2015",17498
超感猎杀 第一季,8.9,https://movie.douban.com/subject/23011215/?from=subject-page,"美剧,科幻,Netflix,美国,沃卓斯基,2015,同性,电视剧",77379
权力的游戏 第四季,9.6,https://movie.douban.com/subject/23232876/?from=subject-page,"美剧,HBO,史诗,权力的游戏,奇幻,魔幻,美国,2014",169661
傲骨之战 第一季,9.2,https://movie.douban.com/subject/26798481/?from=subject-page,"美剧,律政,女性,法律,女权,美国,傲骨贤妻,2017",49250
绝命毒师 第一季,9.0,https://movie.douban.com/subject/2373195/?from=subject-page,"美剧,犯罪,毒品,美国,黑色幽默,剧情,电视剧,2008",152516
黑镜 第四季,8.3,https://movie.douban.com/subject/26898192/?from=subject-page,"科幻,黑镜,美剧,人性,Netflix,黑色,悬疑,2017",104040
怪奇物语 第一季,8.9,https://movie.douban.com/subject/26359270/?from=subject-page,"美剧,科幻,悬疑,Netflix,惊悚,美国,恐怖,2016",142158
千谎百计 第一季,8.7,https://movie.douban.com/subject/3103678/?from=subject-page,"Drama,美剧,行为心理学,推理,犯罪,美国,TimRoth,电视剧",122651
24小时  第一季,8.7,https://movie.douban.com/subject/1298854/?from=subject-page,"TVSeries,美剧,反恐,24小时,悬疑,动作,美国,电视剧",24917
使女的故事 第一季,8.8,https://movie.douban.com/subject/26784967/?from=subject-page,"美剧,反乌托邦,女权,女性,美国,科幻,剧情,2017",72342
英雄 第一季,8.3,https://movie.douban.com/subject/1837856/?from=subject-page,"美剧,科幻,超能力,heroes,美国,电视剧,看过的电视剧,剧情",44754
纸牌屋 第一季,9.2,https://movie.douban.com/subject/6037429/?from=subject-page,"美剧,政治,大卫·芬奇,美国,KevinSpacey,剧情,电视剧,2013",155193
老友记 第一季,9.7,https://movie.douban.com/subject/1393859/?from=subject-page,"TVseries,Friends,美剧,经典,喜剧,老友记,friends,美国",185644
实习医生格蕾 第一季,8.9,https://movie.douban.com/subject/1395471/?from=subject-page,"美剧,医生,Grey's,医务,美国,电视剧,Anatomy,剧情",55868
绝望主妇 第一季,8.8,https://movie.douban.com/subject/1337286/?from=subject-page,"美剧,家庭,绝望主妇,美国,喜剧,悬疑,女性,剧情",70091
海伯利安,,https://movie.douban.com/subject/3026565/?from=subject-page,"科幻,海伯利安,美剧,小说改编,美国,丹·西蒙斯,美国电影,高智商",
生活大爆炸  第一季,9.4,https://movie.douban.com/subject/2156528/?from=subject-page,"tbbt,Sitcom,美剧,喜剧,情景剧,生活大爆炸,美国,电视剧",244207
副本 第一季,7.6,https://movie.douban.com/subject/25814668/?from=subject-page,"科幻,美剧,Netflix,赛博朋克,美国,2018,电视剧,惊悚",20251
基地,,https://movie.douban.com/subject/3161109/?from=subject-page,"科幻,阿西莫夫,基地,经典小说改编,史诗,美国,美剧,美国电影",
太空堡垒卡拉狄加,8.7,https://movie.douban.com/subject/1920763/?from=subject-page,"科幻,美剧,太空堡垒卡拉狄加,美国,电视剧,战争,看过的电视剧,英语标签",4524
迷失 第一季,8.5,https://movie.douban.com/subject/1394819/?from=subject-page,"Lost,LOST,美剧,悬疑,lost,科幻,美国,迷失",61927
星际迷航：发现号 第一季,7.9,https://movie.douban.com/subject/26656750/?from=subject-page,"科幻,星际迷航,美剧,StarTrek,美国,2017,电视剧,看过的电视剧",5954
美国恐怖故事：谋杀屋 第一季,7.8,https://movie.douban.com/subject/6729183/?from=subject-page,"美剧,恐怖,惊悚,悬疑,美国,电视剧,2011,FX",64201
西部世界 第一季,8.9,https://movie.douban.com/subject/2338055/?from=subject-page,"科幻,美剧,人工智能,HBO,人性,美国,西部,2016",211165
真实的人类 第一季,8.4,https://movie.douban.com/subject/26170816/?from=subject-page,"科幻,英剧,人工智能,美剧,英国,人性,2015,电视剧",31889
火线 第一季,9.4,https://movie.douban.com/subject/1418199/?from=subject-page,"美剧,HBO,犯罪,美国,电视剧,剧情,TheWire,2002",15008
爱，死亡和机器人 第一季,9.1,https://movie.douban.com/subject/30424374/?from=subject-page,"科幻,动画,netflix,短片集,赛博朋克,美国,奇幻,2019",278223
